; Traducción Alemán, Francés, Español, Brasileño and ??????
lAboutText1	~1~ ~2~ (~3~ bits)
lControlToolTipTextSeparator	Insertar un separador de menús de texto en la posición actual del menú
lCopyFavoritesToMenuOrGroup	Los menús y los grupos no se pueden copiar.`n`n¿Desea continuar sin copiar menús y grupos??
lCopyLocationCopiedToClipboard	Ruta o URL copiada en el portapapeles 
lDiagModeCaution	~1~ función en modo diagnóstico.`n`nLa información acerca de la ejecución de esta aplicación será recogida en el archivo:`n~2~`n`nNinguna información será transmitida sin su consentimiento.`n`nDesea continuar en modo diagnóstico?
lDiagModeExit	~1~ tiene información recopilada para fines de diagnóstico en el archivo ~2~.
lDiagModeIntro	Enviar este fichero a ahk@jeanlalonde.ca con una descripción de la situación que requiere un diagnóstico.
lDiagModeSee	Quiere consultar el fichero de diagnóstico?
lDialogActivateAlreadyRunning	Si la aplicación ya está en marcha, activarla en lugar de lanzar`n(aplicación debe estar exactamente en el mismo lugar) 
lDialogAdd	Añadir
lDialogAddAmpersand	&Añadir
lDialogAddEditFavoriteTitle	~1~ Favorito: ~4~ - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Añadir Favorito - ~1~ ~2~
lDialogAddFavoriteTabs	Ajustes básicos|Menú de Opciones|Opciones de ventana|Ajustes avanzados
lDialogAddFavoriteTabsExternal	Menú compartido
lDialogAddFavoriteTabsLive	Opciones de carpeta dinámica
lDialogAddFileSelect	elegir un nuevo documento:
lDialogAddFolderManuallyPrompt	Lo sentimos, no podemos detectar la carpeta actual en este tipo de ventana.`n`n¿Quiere añadir una carpeta favorita ahora manualmente?
lDialogAddFolderManuallyTitle	Añadir esta Carpeta o Link - ~1~ ~2~
lDialogAddFolderSelect	Elegir donde crear una nueva carpeta:
lDialogAlt	Alt
lDialogApplicationLabel	Aplicación
lDialogAppWorkingDirCurrent	Iniciar la aplicación en la ubicación de la carpeta en la que se puso en marcha este favorito
lDialogArgumentsLabel	Ajustes
lDialogArgumentsLabelHelp	(poner cada elemento entre comillas si es necesario)
lDialogArgumentsPlaceholders	Puede incluir la ubicación de este favorito en su totalidad o en parte, en el entorno a través de estos códigos: {LOC} (ubicación completa), {NAME} (nombre de la carpeta), {DIR} (carpeta), {EXT} (extensión), {NOEXT} (nombre de la carpeta sin extensión) o {DRIVE} (lector)
lDialogArgumentsPlaceholdersCheckLabel	Ajustes actuales reemplazados por los códigos de ubicación
lDialogArgumentsPlaceholdersCurrent	También puede insertar marcadores de posición para la ubicación de la carpeta actual en la que se puso en marcha este favorito: {CUR_LOC} (ubicación completa), {CUR_NAME} (última carpeta), {CUR_DIR} (carpeta contenedora de la última carpeta) o {CUR_DRIVE} 
lDialogArgumentsPlaceholdersCurrentExample	x:\contenedor_carpeta\última_carpeta
lDialogBrowseButton	Revisar
lDialogBrowseOrSelectApplication	Examinar para seleccionar un archivo ejecutable o elegir una aplicación activa en esta lista
lDialogCancelButton	Anular
lDialogCancelPrompt	Anular los cambios?
lDialogCancelTitle	Anular - ~1~ ~2~
lDialogChangeHotkeyAlternative	Se trata de un acceso directo del menú Alternativo.`n`n¿Quiere gestionar? "~1~" in "~2~"?
lDialogChangeHotkeyAny	Any
lDialogChangeHotkeyLeftAnyRight	Each keyboard modifier can be bound to only "Left" key, only "Right" key or to "Any" of them.
lDialogChangeHotkeyModifierAndNone	Modifiers like "Alt" or "Control" cannot be selected alone. Also select a mouse or keyboard hotkey in the right section.
lDialogChangeHotkeyMouseCheckLButton	You can't assign the "Left Mouse Button" without a modifier`n(like ~1~, ~2~, ~3~ or ~4~ keys).
lDialogChangeHotkeyNote	Nota: Todos los favoritos nombrados "~2~" con la ubicación "~1~" estarán vinculados a la nueva tecla de acceso directo.
lDialogChangeHotkeyNoteSnippet	Nota: Todo fragmento denominado "~ 1 ~" con el mismo contenido estará vinculado a la nueva tecla de acceso directo. 
lDialogChangeHotkeyPopup	Se trata de un acceso directo del menú emergente.`n`n¿Quiere gestionar? "~1~" in "~2~"?
lDialogChangeHotkeyTitle	Modificar acceso directo - ~1~ ~2~
lDialogContinue	Continuar
lDialogContinueAmpersand	C&ontinuar
lDialogCopy	Copiar
lDialogCopyAmpersand	C&opiar
lDialogCopyFavoritesTitle	Copiar Favoritos - ~1~ ~2~
lDialogCtrl	Control
lDialogCtrlShort	Ctrl
lDialogEdit	Modificar
lDialogEditIcon	Modificar recursos del icono
lDialogEditIconPrompt	Modificar el icono del recurso en el formato "carpeta, índice" (por ejemplo, "shell32.dll,2"):
lDialogElevate	Ejecutar la aplicación con privilegios de administrador
lDialogEndOfMenu	fin del menú
lDialogErrorMoving	No es posible cambiar el tamaño del favorito:`n"~1~"
lDialogExternalAddFromCatalogue	¿Quieres añadir un menú externo de Catálogo de los menús compartidos?
lDialogExternalLocation	Ubicación ajustes del menú externos para ubicación del archivo
lDialogExternalMenuAdd	Agregar menú(s) compartido seleccionado
lDialogExternalMenuAddFromCatalogue	 Añadir menús compartidos del catálogo - ~1~ ~2~
lDialogExternalMenuAddHeader	Nombre del Menú Compartido | Archivo de configuración de los Menús Compartidos
lDialogExternalMenuAddNotFromCatalogue	Añadir otro menú compartido...
lDialogExternalMenuName	Nombre del menú compartido
lDialogExternalMenuOpen	Abrir archivo de menú compartido?
lDialogExternalMenusAdded	~1~ menú(s) compartido añadido.
lDialogExternalMenuSelectFromCatalogue	Seleccione uno o más menús compartidos para agregar a su menú y haga clic en ellos ~1~
lDialogExternalSelectFromCatalogue	Elige el Menú compartido para añadir a tu menú
lDialogExternalStartingNumber	Número del primer favorito:
lDialogExternalTip	Doble-click en una linea para ver la info del menú Compartido.
lDialogExternalTypes	Personnel (Menú compartido en equipos diferentes para el mismo usuario)|Colaborativo (menú en una unidad compartida de un equipo o grupo de trabajo)|Centralizado (menú en una unidad compartida gestionada por un administrador del menú)
lDialogExternalTypesLabel	Tipo de Menú Compartido
lDialogExternalWriteAccessMessage	Mensaje sobre el permiso de escritura en el menú compartido
lDialogExternalWriteAccessUsers	Los usuarios con permiso de escritura a este menú
lDialogFavoriteDisabled	No añadir este favorito al menú
lDialogFavoriteDisabledGroupMember	Desactivar este elemento en el grupo
lDialogFavoriteDoesNotExistEdit	¿Quieres editar este favorito?
lDialogFavoriteDoesNotExistPrompt	El favorito "~1~" no existe o no está disponible.`n`nSi este favorito está ubicado en una unidad de red, por favor, inténtalo de nuevo después de la autenticación de red.
lDialogFavoriteDoesNotExistTitle	Favorito no encontrado - ~1~
lDialogFavoriteDropdownEmpty	Por Favor seleccione un elemento ~1~ en la lista desplegable.
lDialogFavoriteExternalHelpWeb	Ver <a href="~1~">Ayuda para menús externos</a> para más información.
lDialogFavoriteExternalSaveNote	Nota: Los valores de esta pestaña se guardan en el menú compartido tan pronto como haga clic "~1~".
lDialogFavoriteFolderLive	Carpeta dinámica (menú que incluye subcarpetas, ver "Configuración avanzada" para las opciones)   
lDialogFavoriteFolderLiveColumns	Número de objetos por columna  (0 si no hay columnas) 
lDialogFavoriteFolderLiveDocuments	Incluir documentos 
lDialogFavoriteFolderLiveExclude	Excluir
lDialogFavoriteFolderLiveExtensions	estas extensiones (extensiones separadas con espacios, por ejemplo "bak bk")
lDialogFavoriteFolderLiveInclude	Incluir
lDialogFavoriteFolderLiveLevels	Número de niveles de subcarpetas a incluir en el menú Carpeta dinámica 
lDialogFavoriteLocationEmpty	La ubicación está vacía. Quiere indicar la ubicación de la carpeta.
lDialogFavoriteMenuPosition	Inserte nuevos favoritos antes de este artículo
lDialogFavoriteNameEmpty	El nombre del favorito está vacio. Quiere indicar un nombre corto para este favorito.
lDialogFavoriteNameNoSeparator	Este nombre de elemento no puede incluir el carácter reservado "~1~".
lDialogFavoriteNameNotAllowed	Tipos de favoritos "~1~" no se pueden añadir a los grupos. Por favor seleccione otro menú en la pestaña "Opciones del menú Opciones".
lDialogFavoriteNameNotNew	El nombre "~1~" ya está presente en este menú. Quiere elegir un nuevo nombre.
lDialogFavoriteNameNotNewQAPfeature	El nombre "~1~" ya está contenido en ese menú. Desea renombrar el favorito existente y probar uno nuevo.
lDialogFavoriteParentMenu	Inserte nuevos favoritos en este menú
lDialogFavoriteRemoveExternalPrompt	Borrar el submenú externo "~1~"`n(no se eliminará el archivo de configuración externa)?
lDialogFavoriteRemoveGroupPrompt	Borrar grupo "~1~"`n(los elementos del grupo también se eliminarán)? 
lDialogFavoriteRemovePrompt	Suprimir el sub-menú "~1~"`incluyendo todos los contenidos (carpetas y sub-menús)?
lDialogFavoriteRemoveTitle	Suprimir un favorito - ~1~
lDialogFavoriteSelectType	Seleccione el tipo de nuevo favorito.`n`nEn la siguiente pantalla, puede:`n- nombrar su favorito`n- determinar contenido personalizado (según el tipo)`n- seleccionar varios ajustes (icono, atajo, etc.)`n`nElija el tipo del nuevo favorito y clique "~1~".
lDialogFavoriteShortNameLabel	Nombre corto para el menú
lDialogFavoriteSnippetEmpty	El contenido está vacío. Por favor, introduzca el contenido del fragmento.
lDialogFavoriteSnippetFixedFont	Tamaño de fuente fijado
lDialogFavoriteSnippetFontSize	Tamaño de fuente
lDialogFavoriteSnippetHelpNoProcess	Insertar `` n para final de linea y ``t para tabulador. Insertar `` (doble barra posterior) para dorso.
lDialogFavoriteSnippetHelpProcess	Oprima Ctrl-Tab para insertar pestañas y Enter para insertar fin de linea
lDialogFavoriteSnippetHelpWeb	Ver <a href="~1~">Ayuda con fragmentos</a> para la codificación de caracteres y comandos especiales.
lDialogFavoriteSnippetProcessEOLTab	Codificará automáticamente fin de línea y tabuladores
lDialogFavoriteSnippetPromptLabel	Preguntar antes de ~1~ el código 
lDialogFavoriteSnippetPromptLabelLaunching	lanzando
lDialogFavoriteSnippetPromptLabelPasting	pegado
lDialogFavoriteSnippetPromptNoPipe	Carácter de barra vertical (|) no esta permitido en el código
lDialogFavoriteSnippetSendMode	Enviar fragmento de aplicación actual a:
lDialogFavoriteSnippetSendModeMacro	Modo macro
lDialogFavoriteSnippetSendModeText	Modo texto
lDialogFavoritesParentMenuCopy	Copiar ~1~ favoritos a este menú
lDialogFavoritesParentMenuMove	Mover ~1~ favoritos hacia este menú
lDialogFavoriteType	Tipo de favorito
lDialogFavoriteTypesHelp1	Crear un acceso directo a "Carpeta" de uso frecuente.`n`nEstablecer el nombre del menú favorito, ruta de acceso y varias opciones de menú.`n`nOpciones de Live Folder permite actualizar el contenido del menú con el contenido actual de la carpeta.`n`nLa configuración avanzada permite definir la posición de la ventana y las opciones del gestor de archivos. 
lDialogFavoriteTypesHelp13	Crear un "Fragmento". Proporcionar el nombre, el contenido y varias opciones.`n`nEn las configuraciones avanzadas, seleccione "Modo de texto" para pegar un trozo de texto al igual que con el portapapeles o elige "Modo macro" para enviar el fragmento como pulsaciones de teclas en el teclado (incluyendo teclas especiales, consulte la Ayuda).
lDialogFavoriteTypesHelp14	Crear un "Menú compartido" para utilizar favoritos en varios sistemas desde el mismo archivo de configuración en una ubicación externa. Defina el nombre del menú compartido para el menú, la ubicación del archivo de configuración externa y varias opciones.`n`nLos menús compartidos se pueden utilizar en los modos "Personal", "Colaborativo" o "Centralizado". Se puede configurar un Catálogo de Menús Compartidos en la pestaña Opciones "General" para facilitar las adiciones de Menús Compartidos.`n`nLos menús compartidos se pueden editar como menús normales. Sólo los usuarios seleccionados pueden editar menús compartidos Centralizados. Consulte las FAQ del sitio web para obtener más ayuda.
lDialogFavoriteTypesHelp15	Crear un "Separador de Texto" para insertar cabeceras que dan más claridad a su menú.`n`nPor defecto, los separadores de texto no tienen ningún icono, pero puede seleccionar uno en la pestaña "Opciones de Menú".
lDialogFavoriteTypesHelp2	Crear un acceso directo hacia un "Documento".`n`nElegir el nombre, ubicación y diversas opciones para el menú.`n`nLas opciones avanzadas permiten elegir la aplicación que lanzará este documento, añadir parámetros opcionales y definir la posición de la ventana.
lDialogFavoriteTypesHelp3	Crear un acceso directo a una "Aplicación" (programa, ejecutable o script).`n`nExplore las carpetas para seleccionar el archivo ejecutable o seleccionarlo de la lista desplegable de programas activos. Configurar las diversas opciones para el menú.`n`nLas opciones avanzadas le permiten seleccionar la carpeta de inicio de la aplicación, agregar parámetros opcionales para definir la posición de la ventana.
lDialogFavoriteTypesHelp4	Crear un atajo hacia una de las 50 "Carpetas especiales" de Windows tales como: Bibliotecas, Mis Imágenes, Papelera, Descargas, etc.`n`nConfigure las diferentes opciones del menú. Ajustes avanzados permiten configurar las opciones de posición de la ventana y del gestor de archivos.
lDialogFavoriteTypesHelp5	Crear un "Link" a un sitio web.`n`nEstablecer nombre del menú, la dirección de la página web (URL) y varias opciones de menú.`n`nAjustes avanzados permiten seleccionar un navegador específico para poner en marcha el enlace, agregar parámetros opcionales y ajustar la posición de la ventana.
lDialogFavoriteTypesHelp6	Crear un acceso directo a un "FTP Sitio".`n`nEstablecer Nombre del menú, FTP dirección del sitio (URL), nombre de inicio de sesión, contraseña y varias opciones del menú.`n`nAjustes avanzados permiten seleccionar un programa de FTP específico para acceder a este sitio, agregar parámetros opcionales, ajuste la posición de la ventana y codificar el nombre de usuario y contraseña.`n`nNota: la contraseña NO es encriptada al enviarse por Internet.
lDialogFavoriteTypesHelp7	Inserte cualquier lugar en su menú "Quick Access Popup Características" como:`n`n- ~1~`n- ~2~`n- ~3~`n- ~4~`n- ~5~`n- etc.
lDialogFavoriteTypesHelp8	Reúna favoritos relacionados en un "Submenú".`n`nDele a su submenú un nombre y seleccione las opciones de menú.`n`nAñadir favoritos a su submenú o moverlos a otros submenús o grupos utilizando el botón "Editar".
lDialogFavoriteTypesHelp9	Lance un "grupo" de favoritos, todo en un acceso directo!`n`nDele a su grupo un nombre y configure varias opciones para su grupo.`n`nAñadir favoritos a tu grupo o moverlos a otros submenús o grupos utilizando el botón "Editar".`n`nAjustes avanzados permiten controlar la velocidad de la restauración mediante la inserción de un retardo entre cada favorito para restaurar.
lDialogFavoriteTypesLabels	&Carpeta|&Documento|&Aplicación|&Carpeta Especial|&Link|Sitio F&TP |&Característica de QAP|Sub&menú|&Grupo||||F&ragmento|M&enú Compartido|Separador de Texto
lDialogFavoriteTypesLocationLabels	Carpeta (ruta)|Documento (ruta y nombre)|Aplicación (ruta y nombre)||Link (URL)|Sitio FTP(URL)|||||||Contenido|Archivo de configuración externa (ruta)|Separador de Texto
lDialogFavoriteTypesShortNames	Carpeta|Doc|App|Special|Link|FTP|QAP|Menú|Grupo|Separador|Salto de Columna|..|Fragmento|Compartido|Texto 
lDialogFavoriteWorkingDirNotFoundPrompt	La configuración avanzada "Iniciar en" del favorito "~1~" no se encuentra:`n~2~
lDialogFavoriteWorkingDirNotFoundTitle	No se encuentra el parametro Inicio en - ~1~
lDialogFileLabel	Documento
lDialogFolderLabel	Carpeta
lDialogFoldersPlaceholders	Puede insertar el marcador de posición {CUR_LOC} para insertar la ubicación donde se ha lanzado este favorito
lDialogGetWebPageTitle	Obtener título
lDialogGetWinInfo	Para identificar la ventana de la cual desea obtener el título y la categoría, haga clic en la ventana de destino con el menú de teclas rápidas QAP [~1~].
lDialogGetWInInfo2Clippoard	Ventana title:`n"~1~"`n`nClass:`n"~2~"`n`nCopiar esta info al Portapapeles?
lDialogHotkeyInvisibleKeys	<a id="~1~">barra espaciadora</a>, <a id="~2~">tabulador</a>, <a id="~3~">intro</a>, <a id="~4~">escape</a>`tampoco <a id="~5~">tecla de menú (aplicación)</a>
lDialogHotkeys	Atajos de teclado
lDialogHotkeysManageAbout	Accesos directos activos actualmente en ~1~
lDialogHotkeysManageAlternative	Alternativa
lDialogHotkeysManageAlternativeMenu	Menú Alternativo
lDialogHotkeysManageIntro	Doble click en una línea favorita para cambiar su acceso directo.
lDialogHotkeysManageListHeader	Menú|Nombre del Favorito|Tipo|Atajo de teclado|Ubicación del Favorito
lDialogHotkeysManageListSeeAllFavorites	Ver todos los favoritos
lDialogHotkeysManageListSeeShortHotkeyNames	Ver nombres de atajos de teclado
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageTitle	Gestionar atajos de teclado - ~1~ ~2~
lDialogIcon	Icono Favorito
lDialogIconsManage	Iconos 
lDialogIconsManageAbout	Seleccione los iconos nuevos para sus favoritos o establezca el icono predeterminado para su tipo. No olvide guardar los cambios en la ventana Configuración. 
lDialogIconsManageCurrent	Icono actual 
lDialogIconsManageDefault	Icono por defecto 
lDialogIconsManageFavoriteName	Nombre favorito 
lDialogIconsManageNext	&Siguiente 
lDialogIconsManageParentMenu	Menú principal favorito
lDialogIconsManagePrevious	&Anterior 
lDialogIconsManageSetDefaultIcon	Establecer icono predeterminado
lDialogIconsManageTitle	Administrar iconos - ~1~ ~2~ 
lDialogInvalidHotkey	Con la configuración actual de la tecla de acceso directo del teclado "~1~" no se puede utilizar como un disparador para el menú emergente.`n`nPor favor, abra la "Configuración ~2~" en el área de notificación y haga clic en "Opciones". En este cuadro de diálogo, elija otra tecla de acceso directo a"~3~".
lDialogInvalidHotkeyFavorite	With your current system keyboard layout, the hotkey "~1~" could not be used as a trigger for this favorite (not a valid key name error).`n`nPlease, choose another shortcut for favorite "~2~" and location "~3~".
lDialogInvalidHotkeyQAPFeature	With your current system keyboard layout, the hotkey "~1~" could not be used as a trigger for this QAP feature (not a valid key name error).`n`nPlease, choose another shortcut for QAP feature "~2~".
lDialogKeyboard	Teclado
lDialogLaunchWith	Lanzar con esta aplicación
lDialogMaximized	Maximizado
lDialogMenuKey	Tecla de menú
lDialogMenuNotMoveUnderItself	El menú "~1~" no se pueden mover sobre sí mismo.
lDialogMinimized	Minimizado
lDialogMouse	Ratón
lDialogMouseButtonsText	Botón izquierdo del ratón|Botón central del ratón|Botón derecho del ratón|Botón especial del ratón 1|Botón especial del ratón 2|Rueda hacia arriba|Rueda hacia abajo|Rueda Izquierda|Rueda Derecha|
lDialogMoveFavoritesTitle	Mueva los favoritos - ~1~ ~2~
lDialogNone	Ninguno
lDialogNormal	Normal
lDialogOff	Apagado
lDialogOK	Si
lDialogOKAmpersand	&Si
lDialogOn	Encendido
lDialogOpenThisGroup	Abrir este grupo
lDialogOpenThisMenu	Abrir este menú
lDialogOr	o
lDialogOtherHotkeys	Otras teclas de acceso rápido para menú principal
lDialogReadOnly	Sólo lectura
lDialogRemoveMultipleFavorites	Realmente quiere suprimir ~1~ favoritos o sub-menús?
lDialogSearch	Búsqueda
lDialogSelectIcon	Selecionar icono
lDialogSelectIconJL	Seleccionar en JLicons.dll 
lDialogSelectIconNo	Sin icono
lDialogSelectItemToAdd	Seleccione la opción para agregar
lDialogSelectItemToEdit	Por favor seleccione la parte a editar.
lDialogSelectItemToMove	Por favor, Seleccione la opción para mover.
lDialogSelectItemToRemove	Por favor seleccione la parte a suprimir.
lDialogSettingsInvalid	Archivo de configuración no válido.`n`nPor favor asegúrese de que el archivo de configuración contiene secciones ~1~ y~2~.`n`nArchivo: ~3~
lDialogSettingsNotSavedPrompt	La ventana Configuración está abierta con cambios no guardados. Estos cambios deben guardarse o cancelarse antes de ejecutar la acción solicitada.`n`nQuieres:`n- "Guardar": Guardar los cambios y continuar con la acción solicitada`n- "Configuración": Cancelar la acción solicitada y regresar a la ventana Configuración`n- "Cancelar": solo cancela la acción solicitada? 
lDialogSettingsNotSavedTitle	~1~ - Configuración no guardada
lDialogShift	Cambio
lDialogShortcut	Atajo
lDialogState	Posición de la ventana:
lDialogSubmenuNameEmpty	El nombre del sub-menú está vacio. Porfavor indique un nombre corto para esta carpeta.
lDialogSubmenuParentMenu	Menú contiene este sub-menú
lDialogSwitchSettings	Elegir el archivo de configuración a utilizar
lDialogSwitchSettingsCancel	Cambio de archivo de configuración anulado...`n`nArchivo de configuración actual:`n~1~
lDialogSwitchSettingsReady	Relanzar ~2~ con el nuevo archivo de configuración:`n`n~1~
lDialogTabNext	Suite
lDialogThirdPartyDetected	~1~ hemos detectado que ~2~ está instalado en su ordenador.`n`nPorfavor active la integración con ~2~?
lDialogTriggerFor	Activar para:
lDialogUseDefaultWindowPosition	Usar posición de ventana por defecto
lDialogWin	Windows
lDialogWindowPosition	Posición de ventana:
lDialogWindowPositionDelay	Retrasar
lDialogWindowPositionH	Altura
lDialogWindowPositionLeft	Izquierda
lDialogWindowPositionMayFail	Nota: por varias razones QAP puede dejar de mover o cambiar el tamaño de algunas ventanas.
lDialogWindowPositionRight	Derecha
lDialogWindowPositionW	Ancho
lDialogWindowPositionX	Izquuierda
lDialogWindowPositionY	Arriba
lDialogWindowsFolderIconCreate	crear
lDialogWindowsFolderIconNoRoot	El icono de la carpeta de Windows no se puede establecer en el directorio raíz de la unidad (~1~).
lDialogWindowsFolderIconPrompt	Este comando abrirá ~1~ el sistema de archivos:`n~2~`n`nEl icono de la carpeta de Windows se establecerá en el icono seleccionado para este favorito. ¿Quieres continuar?
lDialogWindowsFolderIconPrompt2	Nota: Puede transcurrir desde 10-15 segundos o hasta un minuto antes que Windows agregue el nuevo icono de carpeta. 
lDialogWindowsFolderIconRemove	Eliminar icono de carpeta de Windows
lDialogWindowsFolderIconRemoveFile	Este comando puede también SUPRIMIR el archivo de sistema y restaurar la configuración por defecto del registro:`n~1~`n`nQuiere SUPRIMIR este registro de sistema?
lDialogWindowsFolderIconReset	El icono de la carpeta se restablecerá a su imagen por defecto. `n`n¿Quieres continuar?
lDialogWindowsFolderIconSet	Establecer icono carpeta Windows
lDialogWindowsFolderIconUpdate	actualización
lDialogWinShort	Win
lDialogWorkingDirLabel	Empezar con
lDonateButtonAmpersand	Apoyar este &programa gratuito!
lDonateCheckPrompt	Es de su agrado ~1~?`n`n~1~ no sólo es gratuito, sino que también se distribuye sin basura publicitaria que nunca se sabe si son portadores de virus o spyware o malware.`n`nEs por esto ~2~ que ~1~ esta hecho para facilitar su trabajo diario. Que te parecería apoyar nuestro proyecto?
lDonateCheckPrompt2	Nota: Los usuarios que amablemente hagan una donación recibirán un CODIGO sin FIN ~1~.
lDonateCheckPrompt3	mostrar este mensaje 
lDonateCheckPrompt4	mostrar recordatorios de conación 
lDonateCheckTitle	~1~ vez! - ~2~
lDonateMenu	Apoyar este programa gratuito!
lDonatePlatformComment1	Donar con su tarjeta de crédito (No es necesario crear una cuenta) o con su cuenta de PayPal
lDonatePlatformComment2	Para los donantes Europeos
lDonatePlatformComment3	Para los donantes Canadienses
lDonatePlatformComment4	En US $, Euros y CAD $
lDonatePlatformName1	Con Paypal en US $
lDonatePlatformName2	Con Paypal en Euros
lDonatePlatformName3	Con Paypal en CAD $
lDonatePlatformName4	Hacer donaciones mensuales
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Apoyar el desarrollo de ~1~ !
lDonateText2	<a href="~1~">Por qué apoyar este programa gratuito?</a>
lDonateText3	... o apoyar este freeware gratis !
lDonateText4	Escribe una opinión a favor ~1~ a :
lDonateText5	Enviadme vuestro link
lDonateThankyou	Gracias por esta señal de aprecio!
lDonateTitle	Donar! - ~1~ ~2~
lGuiAbout	Acerca de
lGuiAddFavorite	Añadir
lGuiCancel	Anular
lGuiCancelAmpersand	&Anular
lGuiClose	Cerrar
lGuiCloseAmpersand	&Cerrar
lGuiCopyAmpersand	C&opiar
lGuiDonate	Donar
lGuiDropFilesHelp	Uso de arrastrar y soltar
lGuiDropFilesIncentive	Puede Arrastrar y Soltar los siguientes tipos de favoritos en la ~1~ ventana:`n`n`t- ~2~`n`t- ~3~`n`t- ~4~
lGuiDropFilesIncentive2	Para ayudarle a arrastrar uno o varios archivos, puede hacer que la ventana de Configuración permanezca "siempre arriba" haciendo clic en el icono del pin en el lado izquierdo de la ventana.
lGuiEditFavorite	Modicar
lGuiGroupClosing	Cerrando explorador de Windows
lGuiGroupRestoreDelay	Retardo entre los favoritos para restaurar:
lGuiGroupRestoreDelayMilliseconds	milisegundos
lGuiGroupRestoreSide	Pantalla de qué lado ~1~?
lGuiGroupSaveAddWindowsLabel	Añadir a ventanas existentes
lGuiGroupSaveReplaceWindowsLabel	Reemplazar ventanas existentes
lGuiGroupSaveRestoreOption	Durante la restauración del grupo:
lGuiGroupSaveRestoreWith	Restaurar carpetas con:
lGuiHelp	Ayuda
lGuiHotkeysHelp	Ayuda con atajos favoritos
